nom,url,preu,stock
Alta Tensión: El Juego de Cartas,https://mathom.es/es/alta-tension/37250-alta-tension-el-juego-de-cartas-8435407613478.html,"15,96 €", En stock 
Café Race,https://mathom.es/es/ofertas/37309-cafe-race-8437007925005.html,"6,48 €", En stock 
Camarero!,https://mathom.es/es/ofertas/37311-camarero-8437007925258.html,"6,98 €", En stock 
City Council (Inglés),https://mathom.es/es/ofertas/36308-city-council-ingles-700621091554.html,"26,21 €", En stock 
Conan: Aquilonia - Flor de Occidente...,https://mathom.es/es/ofertas/37308-aquilonia-flor-de-occidente-9788495830760.html,"23,97 €", En stock 
Crowdfunding: El Juego,https://mathom.es/es/crowfunding/34217-crowdfunding-el-juego.html,"18,71 €", En stock 
Dados Hipster: Aquapunk,https://mathom.es/es/dados-hipster/37368-dados-hipster-aquapunk-8435407609860.html,"3,96 €", En stock 
Dados Hipster: Cupcake Vintage,https://mathom.es/es/dados-hipster/37371-dados-hipster-cupcake-vintage-8435407609907.html,"3,96 €", En stock 
Dados Hipster: Denim Crujiente,https://mathom.es/es/dados-hipster/37370-dados-hipster-denim-crujiente-8435407609921.html,"3,96 €", En stock 
Dados Hipster: Indiferencia Cromática,https://mathom.es/es/dados-hipster/37369-dados-hipster-indiferencia-cromatica-8435407609884.html,"3,96 €", En stock 
Deal: American Dream (Inglés),https://mathom.es/es/ofertas/36243-deal-american-dream-ingles-3770003625384.html,"37,46 €", En stock 
Dice Masters: Civil War - Set de Inicio...,https://mathom.es/es/sets-basicos-y-sobres/36394-dice-masters-civil-war-set-de-inicio-castellano-italiano-promo-0362756920385.html,"7,98 €", Agotado 
Dungeons & Dragons: Guía del...,https://mathom.es/es/ofertas/16189-guia-del-dungeon-master-2.html,"15,00 €", En stock 
Dungeons & Dragons: Manual de los Planos,https://mathom.es/es/ofertas/31039-manual-de-los-planos.html,"13,50 €", En stock 
Dungeons & Dragons: Poderes Marciales,https://mathom.es/es/ofertas/31038-poderes-marciales-9788496934740.html,"15,00 €", En stock 
El Hobbit: El Oro Encantado,https://mathom.es/es/el-hobbit/35264-el-hobbit-el-oro-encantado-8436017221848.html,"8,80 €", Agotado 
El Señor de los Anillos: La...,https://mathom.es/es/el-senor-de-los-anillos-la-batalla-por-la-tierra-media/35286-el-senor-de-los-anillos-la-batalla-por-la-tierra-media-8436017221404.html,"5,99 €", En stock 
Gol,https://mathom.es/es/gol/31622-gol-8436017221589.html,"5,00 €", En stock 
Intrigas de Palacio,https://mathom.es/es/ofertas/37310-intrigas-de-palacio-8437007925289.html,"6,98 €", En stock 
